DATE,DEXUSUK
18-12-2014,1.5662
19-12-2014,1.5609
22-12-2014,1.5618
23-12-2014,1.5517
24-12-2014,1.5549
25-12-2014,.
26-12-2014,.
29-12-2014,1.5524
30-12-2014,1.5573
31-12-2014,1.5578
01-01-2015,.
02-01-2015,1.5361
05-01-2015,1.5234
06-01-2015,1.5174
07-01-2015,1.5073
08-01-2015,1.5118
09-01-2015,1.5151
12-01-2015,1.5168
13-01-2015,1.5166
14-01-2015,1.5234
15-01-2015,1.5161
16-01-2015,1.5132
19-01-2015,.
20-01-2015,1.5162
21-01-2015,1.5118
22-01-2015,1.5052
23-01-2015,1.5022
26-01-2015,1.5088
27-01-2015,1.5196
28-01-2015,1.5165
29-01-2015,1.5043
30-01-2015,1.5026
02-02-2015,1.5027
03-02-2015,1.5129
04-02-2015,1.5209
05-02-2015,1.5293
06-02-2015,1.5247
09-02-2015,1.5217
10-02-2015,1.5252
11-02-2015,1.5232
12-02-2015,1.538
13-02-2015,1.5394
16-02-2015,.
17-02-2015,1.5349
18-02-2015,1.543
19-02-2015,1.5451
20-02-2015,1.5385
23-02-2015,1.5465
24-02-2015,1.5434
25-02-2015,1.5499
26-02-2015,1.5424
27-02-2015,1.5439
02-03-2015,1.5371
03-03-2015,1.5391
04-03-2015,1.5266
05-03-2015,1.5229
06-03-2015,1.5063
09-03-2015,1.5097
10-03-2015,1.5086
11-03-2015,1.4945
12-03-2015,1.4907
13-03-2015,1.4755
16-03-2015,1.48
17-03-2015,1.4744
18-03-2015,1.4686
19-03-2015,1.4729
20-03-2015,1.4923
23-03-2015,1.4936
24-03-2015,1.487
25-03-2015,1.4915
26-03-2015,1.4844
27-03-2015,1.4878
30-03-2015,1.4792
31-03-2015,1.485
01-04-2015,1.4823
02-04-2015,1.4842
03-04-2015,1.4916
06-04-2015,1.4959
07-04-2015,1.4857
08-04-2015,1.4924
09-04-2015,1.4739
10-04-2015,1.4648
13-04-2015,1.4658
14-04-2015,1.479
15-04-2015,1.4782
16-04-2015,1.4923
17-04-2015,1.4942
20-04-2015,1.4913
21-04-2015,1.4944
22-04-2015,1.5027
23-04-2015,1.5047
24-04-2015,1.5176
27-04-2015,1.5235
28-04-2015,1.5328
29-04-2015,1.5485
30-04-2015,1.5328
01-05-2015,1.5137
04-05-2015,1.5118
05-05-2015,1.5178
06-05-2015,1.5244
07-05-2015,1.5223
08-05-2015,1.5455
11-05-2015,1.5593
12-05-2015,1.5685
13-05-2015,1.5748
14-05-2015,1.5766
15-05-2015,1.5772
18-05-2015,1.5679
19-05-2015,1.5523
20-05-2015,1.5544
21-05-2015,1.5672
22-05-2015,1.5484
25-05-2015,.
26-05-2015,1.5398
27-05-2015,1.5324
28-05-2015,1.5291
29-05-2015,1.5286
01-06-2015,1.5187
02-06-2015,1.5331
03-06-2015,1.5351
04-06-2015,1.5367
05-06-2015,1.5267
08-06-2015,1.528
09-06-2015,1.5383
10-06-2015,1.553
11-06-2015,1.5493
12-06-2015,1.5587
15-06-2015,1.5572
16-06-2015,1.5637
17-06-2015,1.5708
18-06-2015,1.5882
19-06-2015,1.5881
22-06-2015,1.5823
23-06-2015,1.5751
24-06-2015,1.5681
25-06-2015,1.5728
26-06-2015,1.5739
29-06-2015,1.5764
30-06-2015,1.5727
01-07-2015,1.5617
02-07-2015,1.5614
03-07-2015,.
06-07-2015,1.5619
07-07-2015,1.5443
08-07-2015,1.5353
09-07-2015,1.5375
10-07-2015,1.5503
13-07-2015,1.5518
14-07-2015,1.5584
15-07-2015,1.5621
16-07-2015,1.5601
17-07-2015,1.5624
20-07-2015,1.5587
21-07-2015,1.555
22-07-2015,1.5617
23-07-2015,1.5533
24-07-2015,1.5514
27-07-2015,1.5595
28-07-2015,1.5617
29-07-2015,1.5624
30-07-2015,1.5581
31-07-2015,1.5634
03-08-2015,1.5603
04-08-2015,1.5612
05-08-2015,1.5604
06-08-2015,1.5521
07-08-2015,1.5467
10-08-2015,1.5546
11-08-2015,1.5572
12-08-2015,1.5639
13-08-2015,1.5595
14-08-2015,1.5625
17-08-2015,1.5598
18-08-2015,1.5658
19-08-2015,1.5645
20-08-2015,1.5688
21-08-2015,1.5698
24-08-2015,1.5731
25-08-2015,1.5698
26-08-2015,1.5493
27-08-2015,1.5411
28-08-2015,1.5362
31-08-2015,1.5363
01-09-2015,1.5341
02-09-2015,1.531
03-09-2015,1.5254
04-09-2015,1.5195
07-09-2015,.
08-09-2015,1.5381
09-09-2015,1.5363
10-09-2015,1.5457
11-09-2015,1.5426
14-09-2015,1.5423
15-09-2015,1.5352
16-09-2015,1.5499
17-09-2015,1.5509
18-09-2015,1.5573
21-09-2015,1.5506
22-09-2015,1.5356
23-09-2015,1.5243
24-09-2015,1.5254
25-09-2015,1.5172
28-09-2015,1.5208
29-09-2015,1.5168
30-09-2015,1.5116
01-10-2015,1.5162
02-10-2015,1.5216
05-10-2015,1.5165
06-10-2015,1.5227
07-10-2015,1.5315
08-10-2015,1.5316
09-10-2015,1.5315
12-10-2015,.
13-10-2015,1.5242
14-10-2015,1.5445
15-10-2015,1.5475
16-10-2015,1.5441
19-10-2015,1.5471
20-10-2015,1.547
21-10-2015,1.5463
22-10-2015,1.5399
23-10-2015,1.534
26-10-2015,1.5361
